Rank,Urban Area,Population Estimate (2025),1 Year Change (over 2024),Land Area (Km²),Density (P/Km²),Global Rank,Projections (2030),Projections (2050)
1348,Anchal,78432,1.07%,20,3922,7943,81140,89168
1349,Solan,78428,0.61%,10,7843,7944,80801,85651
1350,Bisauli,78415,1.23%,9,8713,7945,81795,92093
1351,Kandhla,78220,0.86%,5,15644,7967,81574,90052
1352,Sindagi,78181,0.26%,8,9773,7974,79207,80235
1353,Mal Bazaar,78157,1.19%,8,9770,7978,82880,94801
1354,Manvi,78116,0.63%,8,9765,7983,80666,81840
1355,Sagwara,78079,0.87%,10,7808,7989,81436,105632
1356,Rajouri,77952,2.37%,12,6496,7998,97468,137031
1357,Jagdispur,77845,1.14%,10,7785,8011,82247,105434
1358,Ashoknagar,77823,0.59%,12,6485,8014,80095,85224
1359,Belaganj,77771,5.16%,26,2991,8019,82554,105539
1360,Tariasujan,77764,1.42%,38,2046,8021,86108,118906
1361,Ramnagri,77749,5.21%,30,2592,8024,83044,164977
1362,Pach Pakri,77704,2.35%,24,3238,8030,84502,121132
1363,Bharwari,77556,1.34%,18,4309,8038,119876,182393
1364,Amratala,77551,1.48%,35,2216,8039,79912,84670
1365,Lakhipur,77507,1.10%,16,4844,8042,83481,98114
1366,Atarra Buzurg,77393,0.53%,10,7739,8051,79424,88343
1367,Shencottai,77386,1.19%,14,5528,8053,79985,85768
1368,Rank,77298,0.80%,11,7027,8062,83469,96020
1369,Salha,77266,2.72%,34,2273,8066,86676,141214
1370,Khair,77244,0.93%,12,6437,8069,80794,106299
1371,Milak,77225,4.97%,13,5940,8074,80853,90345
1372,Pakri,77222,5.05%,22,3510,8075,82013,99336
1373,Kinwat,77194,0.59%,8,9649,8080,81037,86421
1374,Gazole,77073,0.89%,13,5929,8094,85306,98827
1375,Bansdih,77067,1.27%,12,6422,8096,93618,132490
1376,Dhanaura,77066,1.37%,11,7006,8097,86647,150357
1377,Mudkhed,76937,0.70%,9,8549,8113,79599,85912
1378,Akkalkot,76857,0.26%,7,10980,8116,77845,78768
1379,Konch,76823,1.54%,10,7682,8121,78990,84402
1380,Ghatal,76777,0.50%,11,6980,8126,91726,102399
1381,Risod,76727,0.48%,7,10961,8128,78552,82768
1382,Lingasugur,76691,0.31%,8,9586,8133,77866,79194
1383,Sattenapalle,76636,0.46%,9,8515,8140,78401,83554
1384,Nagarbera,76629,0.88%,37,2071,8141,107782,135982
1385,Khadda,76563,0.97%,15,5104,8144,81841,132035
1386,Ramnagar,76521,0.95%,8,9565,8146,86247,100832
1387,Mangrol,76476,0.54%,13,5883,8152,78514,90535
1388,Tribeniganj,76467,0.92%,19,4025,8154,81507,226730
1389,Nippani,76429,0.34%,14,5459,8156,77719,79357
1390,Sagara,76421,0.84%,15,5095,8158,79597,91044
1391,Sirsaganj,76293,1.04%,8,9537,8175,78758,106272
1392,Kozhencherry,76249,0.65%,25,3050,8177,80275,128949
1393,Harishchandrapur,76246,1.46%,32,2383,8178,82980,184799
1394,Neemrana,76161,1.63%,16,4760,8182,84654,96197
1395,Pattan,75975,1.54%,23,3303,8197,148326,345061
1396,Markapur,75945,0.46%,8,9493,8202,77669,81010
1397,Kodaikanal,75796,0.58%,14,5414,8219,79499,84184
1398,Anjangaon,75546,0.39%,5,15109,8243,77024,81231
1399,Chitrakoot,75534,0.75%,15,5036,8247,80559,92489
1400,Kamalpur Fatehabad,75486,4.69%,12,6291,8250,87999,112407
1401,Makhdumnagar,75457,1.31%,14,5390,8257,80349,154113
1402,Jaswantnagar,75456,1.32%,14,5390,8258,78956,95353
1403,Hussepur,75387,1.08%,30,2513,8260,79427,145562
1404,Malakanagiri,75375,0.27%,10,7538,8261,76404,77628
1405,Sheohar,75333,2.31%,16,4708,8264,94034,146713
1406,Mamrezpur Al,75229,1%,8,9404,8279,77608,84762
1407,Tirora,75183,0.74%,14,5370,8282,77954,90302
1408,Piduguralla,75173,0.40%,7,10739,8284,78199,107250
1409,Mungaoli,75132,0.73%,8,9392,8289,79483,86696
1410,Nawanshahr,75122,0.46%,13,5779,8291,76847,86744
1411,Ponda,75025,0.33%,12,6252,8296,76244,85594
1412,Bhushan Steel City,74919,0.19%,9,8324,8305,75631,77684
1413,Narayanpet,74862,0.43%,7,10695,8308,76457,79558
1414,Bhainsa,74825,0.91%,8,9353,8316,76740,79947
1415,Jiaganj Azimganj,74813,0.49%,12,6234,8317,80856,84440
1416,Amdabad,74752,1.03%,29,2578,8325,78597,91546
1417,Tipaturu,74699,0.77%,13,5746,8333,77541,89065
1418,Gossaigaon,74689,1.74%,11,6790,8336,78236,89248
1419,Noorpur,74563,0.90%,6,12427,8353,77896,108991
1420,Chandrakona Road,74434,0.51%,11,6767,8374,76309,79665
1421,Rajpipla,74433,0.98%,8,9304,8375,78053,95459
1422,Raisen,74352,1.45%,9,8261,8393,78217,97112
1423,Umred,73971,0.32%,10,7397,8421,75144,76900
1424,Hiriyur,73928,0.78%,9,8214,8422,78297,85332
1425,Tirumangalam,73889,0.93%,9,8210,8428,75831,80619
1426,Kayalpattinam,73807,0.66%,12,6151,8443,76227,89115
1427,Thiruvaiyaru,73760,1.53%,12,6147,8448,75471,78468
1428,Begamganj,73744,0.61%,6,12291,8449,75972,81482
1429,Puranigudam,73635,0.79%,26,2832,8459,96541,109993
1430,Salar,73539,0.54%,11,6685,8466,75502,78946
1431,Kollegal,73415,0.68%,8,9177,8481,75896,84835
1432,Bellampalli,73326,0.89%,9,8147,8487,75096,78395
1433,Aklera,73322,0.85%,6,12220,8488,76410,86938
1434,Nilanga,73316,0.55%,8,9165,8491,75306,79501
1435,Kachhwa,73314,6.35%,22,3332,8492,76978,115829
1436,Jhinjhak,73297,2.07%,11,6663,8497,77272,83867
1437,Kalol,73242,0.90%,10,7324,8502,78054,103675
1438,Nagina,73223,0.84%,7,10460,8505,85835,98772
1439,Titlagarh,73134,0.66%,8,9142,8515,75551,91450
1440,Duihawa Sher Bahadur Si,73085,1.05%,22,3322,8518,78439,151336
1441,Medak,72907,0.85%,8,9113,8531,81752,85739
1442,Jais,72749,1.15%,10,7275,8548,76963,92779
1443,Jatani,72699,0.31%,13,5592,8555,73816,82353
1444,Barkitanr,72682,4.46%,16,4543,8558,76733,88596
1445,Tumsar,72665,0.28%,7,10381,8563,75215,76711
1446,Shoranur,72653,0.69%,16,4541,8565,93282,110681
1447,Nayagarh,72538,0.33%,16,4534,8574,73740,75304
1448,Bah,72498,0.78%,6,12083,8575,78683,88033
1449,Hisua,72334,2.62%,12,6028,8593,77905,99460
1450,Manachanallur,72307,–,17,4253,8598,73806,77839
1451,Idar,72196,0.89%,17,4247,8614,75365,85670
1452,Mangrul Pir,72190,0.52%,8,9024,8616,74071,78204
1453,Yanam,72180,-0.09%,10,7218,8618,72101,70005
1454,Nazira,72168,0.50%,16,4511,8621,73981,80297
1455,Nohar,72158,0.88%,10,7216,8623,75318,82936
1456,Ambaji,72150,1.50%,12,6013,8624,75846,85737
1457,Nimbahera,72124,0.83%,14,5152,8628,76608,84093
1458,Mahmudabad,72080,0.93%,12,6007,8632,75417,87360
1459,Jaora,72036,0.76%,10,7204,8637,74742,87503
1460,Jangaon,72004,0.40%,9,8000,8641,73424,79108
1461,Daund,71992,0.90%,13,5538,8643,75186,83757
1462,Moranhat,71915,0.75%,9,7991,8650,74724,77015
1463,Amlagora,71820,–,16,4489,8660,73651,77048
1464,Bajpur,71770,1.21%,8,8971,8663,77777,85362
1465,Polur,71634,0.41%,9,7959,8674,73101,75411
1466,Mulabagilu,71624,0.72%,8,8953,8677,74172,79490
1467,Abhaipur,71614,1.23%,8,8952,8679,75966,105680
1468,Darwha,71449,0.59%,7,10207,8699,73538,78298
1469,Ogipur,71222,0.57%,10,7122,8721,73253,76975
1470,Pontinamallayyapalem,71220,1.05%,16,4451,8722,72000,72718
1471,Manori,71171,–,20,3559,8724,74877,90017
1472,Dongargarh,70920,0.65%,9,7880,8753,73224,80648
1473,Mandi Dabwali,70877,0.58%,9,7875,8757,74559,102258
1474,Palia Kalan,70784,0.94%,8,8848,8768,82659,109932
1475,Rudrapur,70643,0.92%,10,7064,8789,75425,96875
1476,Shahopur,70596,–,33,2139,8795,75109,112509
1477,Diphu,70518,1.07%,16,4407,8804,72839,79873
1478,Roha,70504,1.62%,13,5423,8805,76330,89695
1479,Behror,70380,2.27%,13,5414,8814,73900,87762
1480,Pazhayangadi,70377,–,33,2133,8816,72698,81943
1481,Agar,70352,1.01%,7,10050,8819,73879,88867
1482,Safipur,70328,1.25%,6,11721,8824,74782,85766
1483,Barharwa Khurd,70302,2.17%,29,2424,8827,76497,92108
1484,Kattappana,70278,0.63%,11,6389,8834,74040,91333
1485,Dharapuram,70274,0.92%,16,4392,8835,73560,82775
1486,Chengalpattu,70260,1.01%,15,4684,8836,72169,80626
1487,Murgia Chak,70191,4.91%,29,2420,8843,75551,86667
1488,Bidhuna,70140,0.85%,10,7014,8849,74654,84719
1489,Barhampur,70004,1.20%,13,5385,8865,93040,159061
1490,Lauiyah Nandangarh,69990,0.87%,16,4374,8867,76638,100060
1491,Daryapur,69986,0.43%,6,11664,8869,71497,75755
1492,Ladnu,69966,0.64%,11,6361,8872,72197,77447
1493,Shikaripura,69935,1.26%,10,6994,8875,72796,82869
1494,Warud,69901,0.19%,6,11650,8879,70578,71316
1495,Daman,69890,0.99%,17,4111,8880,78016,113495
1496,Shapar - Veraval,69890,0.82%,15,4659,8881,72728,81280
1497,Nowgaon,69833,0.61%,9,7759,8884,71950,77147
1498,Ariyalur,69750,0.41%,12,5813,8898,71169,75151
1499,Lalpur,69715,0.71%,12,5810,8903,72177,92965
1500,Bhimber Gali,69687,2.90%,18,3872,8908,72943,91835
1501,Patharhat,69614,1.01%,21,3315,8921,92585,190145
1502,Shikarpur,69591,0.99%,7,9942,8925,74578,87774
1503,Rajampet,69568,0.46%,7,9938,8928,71164,73927
1504,Kandukur,69510,0.54%,9,7723,8935,71380,76603
1505,Manendragarh,69310,3.17%,12,5776,8959,71432,77687
1506,Bhinga,69263,1.34%,8,8658,8962,72401,83790
1507,Rayadurg,69247,0.64%,7,9892,8964,70014,72195
1508,Singrauli,69116,1.18%,11,6283,8973,75096,90410
1509,Khrew,69037,1.50%,12,5753,8979,74143,124484
1510,Sarai Aquil,68974,0.90%,15,4598,8987,73655,111829
1511,Arang,68973,1.16%,8,8622,8988,71525,78224
1512,Dongam,68972,0.23%,22,3135,8989,72549,73754
1513,Bhawani Mandi,68971,0.86%,9,7663,8991,71919,84974
1514,Mahadipur,68957,1.12%,9,7662,8993,71388,84468
1515,Chahuta,68923,1.27%,17,4054,8996,73244,102611
1516,Chandi,68874,2.10%,18,3826,9005,74870,177019
1517,Kymore,68808,0.90%,10,6881,9014,71882,83633
1518,Bina Etawa,68807,0.71%,12,5734,9015,71220,84183
1519,Papanasam,68754,0.39%,10,6875,9020,70085,72245
1520,Pala,68739,1.88%,15,4583,9021,70938,82374
1521,Wadi,68733,0.61%,11,6248,9023,72397,82551
1522,Bhadravati,68705,0.37%,14,4908,9029,69958,73391
1523,Thuraiyur,68686,0.38%,9,7632,9031,69990,71877
1524,Bhagwanpur,68595,–,28,2450,9045,72576,91969
1525,Diu,68537,1.26%,15,4569,9050,71240,77792
1526,Taki,68513,0.67%,19,3606,9052,72153,85146
1527,Balichak,68480,0.51%,14,4891,9057,70232,73555
1528,Sitarganj,68427,0.96%,11,6221,9062,71670,80251
1529,Nathdwara,68376,1.18%,11,6216,9068,75497,93874
1530,Sajerpar,68288,1.02%,27,2529,9077,108930,148561
1531,Kosamba,68268,0.73%,6,11378,9081,70736,101365
1532,Soro,68236,0.56%,13,5249,9086,70132,75321
1533,Ramgarhwa,68195,1.68%,19,3589,9089,72357,174377
1534,Rahika,68174,–,29,2351,9091,120402,186329
1535,Shamsabad,68171,0.71%,10,6817,9093,72096,89752
1536,Pulwama,68159,1.49%,19,3587,9095,80145,189781
1537,Navapur,68142,1.33%,12,5679,9097,73006,87203
1538,Kaman,68120,0.87%,4,17030,9104,71071,78896
1539,Tilda Neora,67931,1.07%,9,7548,9129,70097,81708
1540,Radhanpur,67820,0.88%,8,8478,9141,70786,83155
1541,Khurai,67693,1.08%,9,7521,9155,71419,85597
1542,Pulivendula,67609,1.30%,10,6761,9163,69064,72069
1543,Sanawad,67541,0.97%,8,8443,9172,72336,92755
1544,Rajgan,67524,0.58%,17,3972,9176,69456,73368
1545,Dabhoi,67431,0.93%,9,7492,9189,70527,83075
1546,Karhal,67404,2.19%,9,7489,9193,70225,79025
1547,Paralakhemundi,67374,0.25%,9,7486,9198,68231,100295
1548,Jangareddygudem,67364,-0.03%,10,6736,9200,67252,65055
1549,Akbarpur,67304,0.57%,7,9615,9207,69201,77005
1550,Lawalangan West,67246,1.04%,16,4203,9216,73229,114121
1551,Katrisarai,67190,–,23,2921,9221,71003,103612
1552,Jharsuguda,67124,0.65%,17,3948,9234,70840,78200
1553,Kumta,67081,1.85%,25,2683,9240,70384,86405
1554,Pakribarawan,67069,1.56%,9,7452,9242,74838,105553
1555,Baihata,67018,1.25%,23,2914,9251,84024,94694
1556,Palasa-Kasibugga,67009,0.27%,9,7445,9254,67912,68826
1557,Dungarpur,66966,0.71%,13,5151,9262,69343,78113
1558,Arpora,66874,0.34%,25,2675,9273,68024,69553
1559,Kharua,66863,0.51%,17,3933,9274,68561,76200
1560,Manjeshwar,66846,0.76%,22,3038,9276,69370,142420
1561,Sahatwar,66813,0.64%,6,11136,9279,68933,86694
1562,Bishun Tola,66812,–,33,2025,9280,70295,103588
1563,Rattangarh Kanakwal,66658,1.24%,16,4166,9305,70752,87226
1564,Fatehabad,66573,0.89%,8,8322,9314,69503,94502
1565,Usilampatti,66514,0.49%,7,9502,9318,68141,77579
1566,Ambad,66396,0.51%,7,9485,9327,68096,71750
1567,Pattamundai,66394,2.30%,20,3320,9328,76449,78567
1568,Kalchini,66382,1.04%,13,5106,9329,84101,97411
1569,Balasinor,66333,1.09%,7,9476,9337,68564,75882
1570,Mahgawan,66316,0.91%,8,8290,9341,70975,80350
1571,Balapur,66305,0.84%,7,9472,9343,67993,71638
1572,Padra,66276,0.63%,5,13255,9348,68360,86017
1573,Kushalanagara,66084,–,14,4720,9369,68356,87677
1574,Lar,66081,1.64%,13,5083,9370,79629,89075
1575,Amgaon,66037,0.72%,11,6003,9381,68409,83304
1576,Kandhar,66019,1%,8,8252,9385,70099,74893
1577,Dumraon,66000,1.07%,10,6600,9388,79890,110198
1578,Goondpur,65967,1.52%,17,3880,9393,72433,94502
1579,Humanabad,65957,0.52%,6,10993,9394,67652,72874
1580,Rajgir,65873,1.87%,10,6587,9410,70568,88524
1581,Pāli,65839,–,27,2438,9416,70075,221498
1582,Salon,65836,–,18,3658,9417,75107,89611
1583,Fatehpur Sikri,65825,0.88%,9,7314,9419,68700,85579
1584,Jasdan,65801,0.62%,9,7311,9424,69440,74502
1585,Chandauli,65705,3.23%,21,3129,9434,74484,89656
1586,Bhalki,65619,0.54%,8,8202,9447,67367,71128
1587,Shahpur,65598,1.40%,10,6560,9449,76105,103954
1588,Jalgaon Jamod,65580,0.91%,6,10930,9454,67094,71675
1589,Sujapur,65407,0.98%,13,5031,9474,71424,94129
1590,Ramtek,65305,0.40%,11,5937,9487,66604,68655
1591,Pokaran,65278,1.62%,12,5440,9492,69174,81078
1592,Islamnagar,65264,0.81%,5,13053,9496,75195,83228
1593,Mālingaon,65214,–,39,1672,9500,77805,112469
1594,Bhongir,65195,0.38%,7,9314,9503,66436,68223
1595,Barara,65121,1.04%,11,5920,9513,68471,77400
1596,Paithan,65112,1.99%,8,8139,9515,67468,75932
1597,Madhugiri,65089,1.73%,10,6509,9519,67700,74307
1598,Chengannur,65054,1.47%,17,3827,9523,73040,80155
1599,Darewa,65052,–,29,2243,9524,68472,242105
1600,Chanchal,65029,0.93%,9,7225,9526,85826,113952
1601,Panchgram,65005,0.55%,15,4334,9527,66785,70125
1602,Kalitheerthalkuppam,64969,0.55%,16,4061,9531,66742,69794
1603,Roh,64953,3.53%,18,3609,9534,72054,99403
1604,Nalhati,64896,0.49%,13,4992,9541,66463,69166
1605,Sidhi,64662,2.48%,16,4041,9576,67542,82842
1606,Dhemaji,64644,0.32%,9,7183,9579,65683,67382
1607,Punganuru,64625,0.90%,7,9232,9582,66042,68676
1608,Limbdi,64617,0.57%,7,9231,9583,66455,74238
1609,Ode,64611,0.95%,8,8076,9585,67656,82540
1610,Jagdishpur,64567,2.92%,13,4967,9590,67513,104771
1611,Venkatagiri,64557,0.60%,11,5869,9593,66474,70700
1612,Kekri,64437,0.96%,10,6444,9610,67509,75945
1613,Pimpalgaon Basvant,64433,1.17%,9,7159,9611,68252,82297
1614,Mehrma,64413,0.57%,16,4026,9615,66233,69956
1615,Egra,64340,1.48%,9,7149,9621,66173,69637
1616,Vikarabad,64242,0.49%,7,9177,9631,65795,68716
1617,Chanpatia,64233,0.89%,8,8029,9633,70111,87118
1618,Gauriganj,64209,1.87%,19,3379,9640,70299,92368
1619,Naksimal,64196,0.55%,15,4280,9644,65938,69397
1620,Siyana,64048,0.56%,3,21349,9667,68835,89453
1621,Mandapeta,63952,-0.04%,8,7994,9685,63815,61691
1622,Changodar,63894,1.88%,21,3043,9694,68924,81755
1623,Balesar,63889,2.08%,14,4564,9696,67486,89134
1624,Chibinang,63882,1.29%,10,6388,9699,66442,74899
1625,Nirmali,63877,1.03%,10,6388,9700,67142,113445
1626,Amber,63876,1.58%,17,3757,9701,66948,80527
1627,Ramachandrapuram,63873,-0.05%,5,12775,9702,63723,61537
1628,Aliganj,63803,0.78%,8,7975,9709,69407,86195
1629,Pen,63796,0.82%,7,9114,9712,66407,80780
1630,Kherli,63785,0.75%,7,9112,9713,70760,84361
1631,Shevgaon,63768,1.28%,10,6377,9716,66448,79285
1632,Umbergaon Road,63715,1.25%,11,5792,9722,66153,81493
1633,Nuh,63706,1.21%,13,4900,9724,69022,83419
1634,Mudhol,63660,0.30%,12,5305,9731,64619,65778
1635,Garwel,63638,1.63%,15,4243,9735,111766,180316
1636,Rajula,63538,0.38%,7,9077,9743,65035,75180
1637,Kailaras,63498,1.31%,7,9071,9749,66103,72118
1638,Wokha,63466,0.90%,9,7052,9755,64798,66892
1639,Dhuraia,63423,–,27,2349,9762,116971,217805
1640,Georai,63398,0.46%,8,7925,9771,64839,67986
1641,Soron,63380,0.81%,6,10563,9773,65936,72533
1642,Shadnagar,63353,0.37%,9,7039,9775,64518,67955
1643,Laukaria,63318,–,37,1711,9778,76451,113885
1644,Gowribidanur,63287,0.71%,9,7032,9780,67003,76141
1645,Harapanahalli,63266,0.76%,7,9038,9787,65647,74302
1646,Anupshahr,63203,0.78%,6,10534,9801,67182,75086
1647,Mungeli,63138,0.67%,9,7015,9812,66779,79210
1648,Melur,63120,0.41%,9,7013,9817,64417,66378
1649,Jalwara,63048,–,10,6305,9823,72633,103548
1650,Saundatti,63020,0.80%,7,9003,9825,64042,65233
1651,Machhlishahr,63004,3.34%,14,4500,9829,67491,99672
1652,Ghatsila,62893,0.60%,13,4838,9851,66193,71504
1653,Laxmangarh,62856,1.06%,10,6286,9855,64752,76092
1654,Bhanjanagar,62827,0.30%,10,6283,9858,63778,67673
1655,Magdhar,62814,1.27%,7,8973,9861,66425,74765
1656,Bariarpur,62794,2.49%,11,5709,9868,66489,85468
1657,Narhat,62776,2.66%,22,2853,9872,66653,170725
1658,Kadiyam,62774,-0.03%,16,3923,9873,62673,60573
1659,Wankaner,62757,0.62%,9,6973,9877,64682,70358
1660,Cheeka,62740,1.05%,11,5704,9878,65987,83780
1661,Sondalia,62695,0.50%,22,2850,9887,65708,74326
1662,Chirimiri,62665,0.71%,10,6267,9895,64860,70547
1663,Behea,62595,1.36%,5,12519,9904,67013,85806
1664,Arwal,62565,–,14,4469,9913,66405,88285
1665,Barjora,62548,0.50%,13,4811,9916,64110,66786
1666,Gohad,62501,1.26%,7,8929,9925,64965,71451
1667,Banswada,62436,1.07%,8,7805,9941,64270,68451
1668,Modnipur,62389,1.18%,10,6239,9949,66019,139936
1669,Gannaur,62384,0.97%,8,7798,9950,66884,75633
1670,Kaliabor,62367,3.07%,20,3118,9953,66301,89486
1671,Nidadavolu,62338,-0.03%,10,6234,9957,62238,60244
1672,Hirakud,62306,0.59%,6,10384,9963,64126,68165
1673,Simdega,62288,1.21%,13,4791,9966,69089,87337
1674,Bawal,62278,1.41%,19,3278,9970,66605,82541
1675,Chanderi,62256,1.55%,7,8894,9976,64049,76849
1676,Maudaha,62240,0.63%,7,8891,9980,64196,70331
1677,Peddapalli,62180,0.40%,8,7773,9993,63410,70406
1678,Lala,62071,1.19%,15,4138,10004,84257,108675
1679,Asika,62062,0.36%,16,3879,10007,63188,64754
1680,Parangipettai,61999,0.53%,21,2952,10013,63624,69464
1681,Miranpur,61982,3.52%,7,8855,10015,65322,75602
1682,Kanakapura,61979,0.55%,7,8854,10016,65195,69068
1683,Paikar,61978,1.08%,21,2951,10017,74124,86265
1684,Dhone,61944,0.33%,5,12389,10020,64571,69533
1685,Malanpur,61889,1.59%,16,3868,10028,66731,81930
1686,Bhadgaon,61886,0.96%,7,8841,10029,64840,75878
1687,Mahendragarh,61871,1.08%,13,4759,10035,66792,77498
1688,Mohnapur,61818,–,27,2290,10046,65038,144523
1689,Malpura,61744,1%,9,6860,10057,64807,78625
1690,Berai,61734,1.24%,14,4410,10058,74774,99931
1691,Baniarapara,61729,1.04%,27,2286,10061,64292,116829
1692,Sirohi,61713,2.26%,11,5610,10062,68867,78191
1693,Nabarangapur,61698,0.33%,15,4113,10065,64224,67265
1694,Laksar,61671,1.21%,12,5139,10070,65372,76803
1695,Rawatbhata,61653,1.55%,12,5138,10071,65367,79506
1696,Bijawar,61647,1.02%,5,12329,10073,63348,70666
1697,Gursarai,61635,0.62%,6,10273,10077,63529,69737
1698,Kanchra,61579,1.07%,23,2677,10085,63402,66851
1699,Mandvi,61495,0.59%,9,6833,10095,63315,67311
1700,Jaggayyapeta,61452,-0.06%,8,7682,10098,61278,58946
1701,Peddapuram,61408,-0.04%,11,5583,10105,61292,59324
1702,Hoskote,61400,0.50%,8,7675,10108,62914,68880
1703,Margherita,61367,1.02%,12,5114,10112,62971,76436
1704,Hosadurga,61362,0.75%,6,10227,10114,63642,70559
1705,Umarga,61347,0.47%,7,8764,10115,64343,70895
1706,Kaduru,61336,0.61%,6,10223,10118,64746,72636
1707,Bhamora,61335,–,24,2556,10119,66171,78166
1708,Umerkote,61221,0.27%,7,8746,10136,62061,64556
1709,Alangulam,61180,0.60%,9,6798,10143,63018,66924
1710,Umaria,61135,0.63%,11,5558,10149,64591,71658
1711,Motikhavdi,61119,1.97%,23,2657,10155,64319,67025
1712,Itwa,61058,1.49%,20,3053,10166,64120,81888
1713,Athani,61011,0.78%,11,5546,10171,61882,62845
1714,Multai,60883,0.37%,8,7610,10192,61994,63705
1715,Bhadra,60858,0.87%,8,7607,10195,63487,69383
1716,Nirsa,60855,0.55%,12,5071,10196,62515,80309
1717,Kauriram,60779,3.18%,19,3199,10207,63992,81220
1718,Bokakhat,60718,0.41%,13,4671,10214,61965,63991
1719,Daurala,60712,1.35%,9,6746,10215,64755,76641
1720,Kopaganj,60707,1.07%,8,7588,10216,62499,78864
1721,Ramkola,60680,–,11,5516,10221,72111,98980
1722,Chachaura-Binaganj,60635,1.11%,8,7579,10225,63954,74255
1723,Jhajjar,60585,0.64%,8,7573,10237,62511,72809
1724,Sundarpur,60580,0.58%,13,4660,10238,62325,65901
1725,Thakurganj,60573,1.01%,14,4327,10239,63598,94277
1726,Chiraia,60571,–,27,2243,10240,64323,148160
1727,Partur,60516,1.07%,9,6724,10245,62264,66149
1728,Mokokchung,60426,0.32%,8,7553,10252,61396,67510
1729,Edappadi,60417,0.52%,10,6042,10255,63496,72793
1730,Suar,60270,0.81%,8,7534,10275,62691,99675
1731,Merta City,60251,0.87%,12,5021,10278,62850,71174
1732,Rampura Phul,60233,1.11%,9,6693,10280,62129,75537
1733,Khajni,60230,2.04%,25,2409,10281,66382,209710
1734,Sihora,60200,0.54%,9,6689,10287,61808,67475
1735,Ahwa,60173,1.04%,5,12035,10290,63280,72473
1736,Chakia,60128,0.90%,7,8590,10298,62808,71642
1737,Pandharkawada,60105,0.90%,8,7513,10302,61285,64684
1738,Gangoh,60021,0.70%,4,15005,10313,62102,69583
1739,Rasulpur,59921,1.70%,14,4280,10327,65010,80681
1740,Shikrapur,59846,0.93%,18,3325,10338,64246,81973
1741,Sher Chakla,59802,1.27%,11,5437,10349,63555,76282
1742,Mankapur,59794,1.05%,22,2718,10351,74390,115805
1743,Lahar,59781,0.53%,6,9964,10352,61371,68830
1744,Karjat,59761,0.95%,9,6640,10355,62577,72039
1745,Safidon,59753,0.91%,8,7469,10357,64058,71321
1746,Umreth,59660,1.22%,7,8523,10368,61889,67878
1747,Mazhuvancherry,59649,0.63%,17,3509,10372,68499,78147
1748,Nokha,59589,0.95%,5,11918,10380,76405,105711
1749,Puraini,59566,–,15,3971,10382,62537,75397
1750,Shopian,59502,–,17,3500,10397,63785,145871
1751,Balod,59354,0.67%,9,6595,10414,62822,69604
1752,Joya,59343,–,16,3709,10416,68530,77243
1753,Nenmara,59335,0.73%,21,2825,10419,61475,68264
1754,Kheragarh,59269,0.86%,7,8467,10431,66701,79378
1755,Murliganj,59248,0.93%,9,6583,10442,61978,77578
1756,Manwat,59200,0.49%,5,11840,10453,60651,66180
1757,Mithapur,59178,0.70%,10,5918,10455,61230,77690
1758,Polasara,59173,0.34%,12,4931,10457,60185,61375
1759,Paonta Sahib,59162,1.15%,13,4551,10461,66624,90790
1760,Bemetara,59055,0.71%,9,6562,10470,63305,72393
1761,Chhatarpur,59019,2.90%,13,4540,10475,62492,86356
1762,Lunglei,58957,0.46%,7,8422,10485,60316,63129
1763,Tekkali,58839,0.19%,4,14710,10503,59402,62825
1764,Berasia,58829,1.47%,8,7354,10504,61689,74271
1765,Phulbani,58821,0.31%,7,8403,10506,59725,60743
1766,Patran,58811,0.75%,5,11762,10507,68995,82087
1767,Thippanampatti,58781,0.65%,13,4522,10512,60686,64775
1768,Vessu,58740,–,22,2670,10520,92286,177837
1769,Dadhapi,58631,1.51%,26,2255,10533,64553,78374
1770,Jaleswar,58600,1.87%,14,4186,10538,60301,63632
1771,Margram,58577,0.42%,5,11715,10540,59802,61574
1772,Dwarka,58548,0.64%,11,5323,10543,60412,64658
1773,Nandikotkur,58532,0.55%,6,9755,10546,60127,64996
1774,Makrahi,58485,0.93%,17,3440,10553,71460,80817
1775,Durlovpur,58448,0.76%,11,5313,10566,60649,66054
1776,Kundwa Chainpur,58335,–,14,4167,10583,61992,85855
1777,Andipatti Jakkampatty,58324,0.54%,6,9721,10585,59883,68037
1778,Sarangpur,58249,0.77%,6,9708,10598,60482,69063
1779,Salaiya,58226,2.21%,12,4852,10604,61699,74607
1780,Mahuawa,58139,–,21,2769,10613,61798,74144
1781,Gurap,58125,0.50%,13,4471,10618,61083,84450
1782,Chandanpur,58122,1.64%,11,5284,10619,87222,103978
1783,Haflong,58116,0.53%,7,8302,10623,59656,64640
1784,Gadarpur,58107,1.45%,11,5282,10625,60848,68549
1785,Giddalur,58081,0.50%,5,11616,10628,59530,63848
1786,Betnoti,58007,0.54%,8,7251,10639,59563,62471
1787,Satbarwa,57919,1.65%,13,4455,10652,61199,76881
1788,Chutmalpur,57884,1.19%,9,6432,10656,61294,71297
1789,Nandigama,57779,-0.04%,6,9630,10667,57670,55727
1790,Bulbulchandi,57744,1.07%,14,4125,10672,60797,71484
1791,Chinnalapatti,57716,0.61%,10,5772,10677,61046,66588
1792,Haldibari,57713,0.89%,7,8245,10678,60255,70296
