Rank,Urban Area,Population Estimate (2025),1 Year Change (over 2024),Land Area (Km²),Density (P/Km²),Global Rank,Projections (2030),Projections (2050)
247,Khagaria,372707,3.41%,54,6902,1530,395332,542913
248,Dewas,370472,0.94%,42,8821,1541,387880,452177
249,Dehri,368750,1.26%,43,8576,1548,403717,536562
250,Thoothukudi,368221,0.62%,49,7515,1550,379740,400842
251,Godhra,367633,0.87%,30,12254,1554,388917,438003
252,Ratlam,366958,1.24%,36,10193,1561,385049,425539
253,Silvassa,366589,1.81%,53,6917,1563,454808,562258
254,Yavatmal,363908,0.84%,40,9098,1570,373449,391043
255,Pilibhit,358059,0.90%,25,14322,1589,374045,422601
256,Aizawl,356620,0.72%,29,12297,1595,367465,389674
257,Korba,355784,0.76%,49,7261,1600,372980,414465
258,Satara,355609,0.24%,39,9118,1603,359953,365284
259,Dhubri,355592,1.78%,81,4390,1604,389132,498061
260,Kurukshetra,353119,1.18%,46,7677,1619,373744,428710
261,Khurja,352785,1.33%,38,9284,1623,373089,464262
262,Madhubani,352336,1.77%,42,8389,1625,375084,505702
263,Karimnagar,351832,0.29%,46,7649,1628,358572,372897
264,Purulia,350713,0.45%,27,12989,1633,358533,371530
265,Dahod,350660,1.78%,39,8991,1634,380929,443837
266,Simri,348804,1.94%,101,3454,1639,424922,580724
267,Mainpuri,347106,0.98%,31,11197,1648,364406,432060
268,Khammam,346533,-0.04%,43,8059,1649,345845,334571
269,Burhanpur,346277,0.99%,31,11170,1650,363295,427142
270,Etah,344002,1.02%,29,11862,1664,370924,431381
271,Tiruvannamalai,342795,0.42%,37,9265,1669,352659,366532
272,Birpur,339926,3.07%,86,3953,1682,374502,507073
273,Bhagalpur,339560,0.96%,49,6930,1684,358605,406191
274,Thakurdwara,336772,0.91%,41,8214,1696,354645,400721
275,Pupri,336223,3.87%,101,3329,1701,360228,490320
276,Tanur,335953,1.02%,113,2973,1703,359113,425045
277,Sri Ganganagar,335747,1.03%,49,6852,1705,348736,399039
278,Nagaon,333706,0.97%,39,8557,1717,344502,369124
279,Sikar,333509,1.05%,44,7580,1719,345806,408577
280,Rudrapur,332826,1.09%,48,6934,1724,349213,462672
281,Sasaram,332715,1.48%,39,8531,1726,351526,435305
282,Chandausi,331969,1.04%,29,11447,1730,347819,428130
283,Greater Noida,329385,1.19%,103,3198,1743,349355,399792
284,Tezpur,328217,0.64%,52,6312,1751,362507,398164
285,Puri,328196,0.24%,26,12623,1752,332086,335934
286,Bhadohi,326738,1.77%,49,6668,1758,362830,425054
287,Rishikesh,325933,1.17%,45,7243,1762,345829,398659
288,Khanakul,325882,0.83%,128,2546,1763,338702,418911
289,Katni,321522,1.19%,49,6562,1788,336524,377843
290,Ranipet,320233,1.03%,71,4510,1795,348246,392223
291,Balurghat,319934,0.96%,23,13910,1798,335780,376072
292,Raichur,319647,0.29%,34,9401,1800,325733,330789
293,Bhusawal,317085,1.09%,37,8570,1811,334141,401059
294,Hazaribagh,316861,2.25%,51,6213,1812,333323,436381
295,Surendranagar,316206,0.71%,33,9582,1813,325985,343066
296,Udupi,315743,0.85%,86,3671,1817,331620,363319
297,Pathankot,315476,0.57%,43,7337,1819,324401,363144
298,Kodarma,313949,1.14%,35,8970,1828,332425,397265
299,Gandhidham,313691,0.72%,66,4753,1830,326036,367998
300,Bidar,312534,0.68%,38,8225,1837,326089,347218
301,Vizianagaram,312315,0.22%,34,9186,1839,315814,321123
302,Simri Bakhtiarpur,311434,0.43%,90,3460,1841,354381,442490
303,Beed,310278,0.38%,25,12411,1856,319189,334581
304,Madhepura,309065,3.20%,79,3912,1863,357279,486713
305,Damoh,307218,0.69%,28,10972,1873,316377,342146
306,Bankura,306650,0.86%,32,9583,1878,314124,327127
307,Benipur,304786,1.46%,70,4354,1883,334601,400463
308,Barmer,304268,1.43%,34,8949,1887,318711,367452
309,Sivakasi,302256,0.62%,50,6045,1896,314664,332949
310,Orai,301946,0.62%,30,10065,1899,309762,329340
311,Jigani,301763,1.45%,63,4790,1901,315895,356344
312,Amroha,301108,0.93%,22,13687,1904,315550,362823
313,Siwan,300919,1.06%,32,9404,1905,322850,384884
